,city,date,latitude,Longitutude,maximum Temperature,Humidity,Cloudiness,Wind Speed,Country,Date
0,Cascais,1605902846,38.7,-9.42,292.59,55,0,3.1,PT,1605902846
1,Bluff,1605902846,-46.6,168.33,290.93,59,59,7.15,NZ,1605902846
2,Majene,1605902997,-3.54,118.97,298.78,83,100,1.55,ID,1605902997
3,Bathsheba,1605902998,13.22,-59.52,300.15,83,75,5.1,BB,1605902998
4,Barrow,1605902999,71.29,-156.79,259.15,77,20,6.7,US,1605902999
5,Albany,1605902766,42.6,-73.97,287.59,39,10,0.89,US,1605902766
6,Mataura,1605903001,-46.19,168.86,290.93,59,44,7.15,NZ,1605903001
7,Hermanus,1605903008,-34.42,19.23,291.48,72,0,1.79,ZA,1605903008
8,Saint-Philippe,1605903009,-21.36,55.77,296.15,64,90,2.6,RE,1605903009
9,Nísia Floresta,1605902894,-6.09,-35.21,302.15,74,75,5.7,BR,1605902894
10,Provideniya,1605903011,64.38,-173.3,272.3,98,100,13.09,RU,1605903011
11,Henties Bay,1605903012,-22.12,14.28,289.26,86,29,1.64,NA,1605903012
12,Bredasdorp,1605903013,-34.53,20.04,290.15,82,0,5.1,ZA,1605903013
13,Poso,1605903015,-1.4,120.75,299.82,74,61,1.78,ID,1605903015
14,Kaitangata,1605903016,-46.28,169.85,287.58,64,50,3.61,NZ,1605903016
15,Makakilo City,1605903009,21.35,-158.09,300.15,74,90,3.1,US,1605903009
16,Gambēla,1605903018,8.25,34.58,299.61,53,0,1.53,ET,1605903018
17,Mae Sot,1605903019,16.72,98.57,294.88,84,100,0.55,TH,1605903019
18,Leningradskiy,1605903020,69.38,178.42,266.11,96,90,2.16,RU,1605903020
19,Rikitea,1605903021,-23.12,-134.97,295.57,69,19,4.26,PF,1605903021
20,Busselton,1605903023,-33.65,115.33,282.59,96,92,2.61,AU,1605903023
21,Hithadhoo,1605903024,-0.6,73.08,300.73,73,73,2.42,MV,1605903024
22,Tatarsk,1605903025,55.22,75.98,265.28,95,94,7.23,RU,1605903025
23,Ushuaia,1605902862,-54.8,-68.3,285.15,71,75,6.2,AR,1605902862
24,Grand Gaube,1605903027,-20.01,57.66,295.37,78,39,0.89,MU,1605903027
25,Saldanha,1605903028,-33.01,17.94,296.15,33,0,4.1,ZA,1605903028
26,Baruun-Urt,1605903030,46.68,113.28,257.74,86,5,3.0,MN,1605903030
27,Nantucket,1605902925,41.28,-70.1,289.15,72,1,9.3,US,1605902925
28,George Town,1605902938,5.41,100.34,300.15,88,40,2.1,MY,1605902938
29,Kapaa,1605902916,22.08,-159.32,300.15,69,75,5.7,US,1605902916
30,Hobart,1605902988,-42.88,147.33,283.15,87,40,3.1,AU,1605902988
31,Korla,1605902772,41.76,86.15,267.07,75,23,1.25,CN,1605902772
32,Bairiki Village,1605902858,1.33,172.98,301.15,74,75,4.6,KI,1605902858
33,Castro,1605903017,-24.79,-50.01,294.23,59,44,1.76,BR,1605903017
34,Minbu,1605903039,20.18,94.88,292.98,80,4,1.2,MM,1605903039
35,Cape Town,1605902394,-33.93,18.42,293.71,72,0,3.1,ZA,1605902394
36,Lompoc,1605902883,34.64,-120.46,294.15,35,1,2.58,US,1605902883
37,Norman Wells,1605903042,65.28,-126.83,246.15,75,75,2.1,CA,1605903042
38,Itacurubí del Rosario,1605903043,-24.5,-56.68,305.37,23,5,1.83,PY,1605903043
39,Mitsamiouli,1605903045,-11.38,43.28,299.84,76,7,3.12,KM,1605903045
40,Antofagasta,1605903046,-23.65,-70.4,291.15,63,20,7.2,CL,1605903046
41,Kangaatsiaq,1605903047,68.31,-53.46,273.33,95,97,6.51,GL,1605903047
42,Vaini,1605903048,-21.2,-175.2,298.15,83,75,3.6,TO,1605903048
43,Tual,1605902947,-5.67,132.75,301.5,76,95,2.28,ID,1605902947
44,Jiuquan,1605903050,39.74,98.52,262.47,94,100,3.52,CN,1605903050
45,Yellowknife,1605903052,62.46,-114.35,258.15,84,75,1.5,CA,1605903052
46,Butaritari,1605903053,3.07,172.79,300.61,82,60,8.07,KI,1605903053
47,Kaduqli,1605903054,11.02,29.72,298.97,25,0,3.86,SD,1605903054
48,Ixtapa,1605902959,20.7,-105.2,304.15,43,5,5.1,MX,1605902959
49,Acapulco de Juárez,1605903014,16.86,-99.89,305.15,59,20,2.1,MX,1605903014
50,Port Macquarie,1605903057,-31.43,152.92,293.15,93,22,2.1,AU,1605903057
51,Hong Kong,1605902273,22.29,114.16,297.59,91,42,6.7,HK,1605902273
52,Alugan,1605903060,12.22,125.48,300.04,84,77,3.6,PH,1605903060
53,Touros,1605903061,-5.2,-35.46,302.15,70,40,7.2,BR,1605903061
54,Port Alfred,1605903062,-33.59,26.89,291.73,77,1,10.48,ZA,1605903062
55,Cherskiy,1605903063,68.75,161.3,260.89,96,100,3.92,RU,1605903063
56,Husavik,1605903064,66.04,-17.34,273.15,93,90,4.1,IS,1605903064
57,Khuzhir,1605903066,53.19,107.34,265.57,85,99,5.42,RU,1605903066
58,Vostok,1605903067,46.49,135.88,261.57,98,75,0.97,RU,1605903067
59,Grindavik,1605903068,63.84,-22.43,276.15,77,75,7.7,IS,1605903068
60,Mosquera,1605903069,4.71,-74.23,293.15,45,75,2.6,CO,1605903069
61,Qasigiannguit,1605903070,68.82,-51.19,270.15,92,75,3.1,GL,1605903070
62,Inírida,1605903072,3.87,-67.92,304.04,65,85,1.47,CO,1605903072
63,Terråk,1605903073,65.09,12.37,275.15,89,75,5.7,NO,1605903073
64,Staryy Nadym,1605903074,65.61,72.68,273.37,94,100,10.09,RU,1605903074
65,Opole Voivodeship,1605903075,50.5,18.0,274.82,92,0,2.68,PL,1605903075
66,Namatanai,1605903076,-3.67,152.43,299.05,86,98,4.23,PG,1605903076
67,Jamestown,1605903077,42.1,-79.24,286.48,43,90,7.2,US,1605903077
68,Udachny,1605903079,66.42,112.4,259.15,84,0,2.0,RU,1605903079
69,Guadalupe y Calvo,1605903080,26.1,-106.97,297.79,21,0,0.63,MX,1605903080
70,Kununurra,1605903081,-15.77,128.73,298.15,100,44,0.51,AU,1605903081
71,Vestmannaeyjar,1605903082,63.44,-20.27,276.55,88,100,12.96,IS,1605903082
72,Maniitsoq,1605903083,65.42,-52.9,269.97,97,100,5.96,GL,1605903083
73,Puerto Ayora,1605903084,-0.74,-90.35,299.15,69,75,6.2,EC,1605903084
74,Nelson Bay,1605902911,-32.72,152.15,292.59,82,90,7.7,AU,1605902911
75,Zaraza,1605903087,9.35,-65.32,301.61,82,20,1.3,VE,1605903087
76,Quatre Cocos,1605903088,-20.21,57.76,295.37,94,20,3.1,MU,1605903088
77,Hauterive,1605903089,46.09,3.45,277.15,69,0,1.0,FR,1605903089
78,Palana,1605903090,59.12,159.97,262.94,98,100,2.1,RU,1605903090
79,Necochea,1605903091,-38.55,-58.74,297.24,37,100,5.87,AR,1605903091
80,Ucluelet,1605903092,48.93,-125.55,283.15,100,90,4.1,CA,1605903092
81,Duminichi,1605903094,53.93,35.11,271.97,99,100,2.58,RU,1605903094
82,Iqaluit,1605903095,63.75,-68.51,259.15,77,75,1.5,CA,1605903095
83,Katsuura,1605903096,35.13,140.3,291.15,59,75,4.1,JP,1605903096
84,Kokoda,1605903097,-8.88,147.74,296.44,67,91,0.49,PG,1605903097
85,Longyearbyen,1605903098,78.22,15.64,262.15,78,75,1.5,SJ,1605903098
86,Ostrovnoy,1605903100,68.05,39.51,274.98,86,100,10.38,RU,1605903100
87,Santander,1605902834,43.46,-3.8,284.82,87,0,3.1,ES,1605902834
88,Tasiilaq,1605903102,65.61,-37.64,272.15,54,75,5.1,GL,1605903102
89,Punta Arenas,1605903103,-53.15,-70.92,288.15,47,0,7.2,CL,1605903103
90,Esperance,1605903104,-33.87,121.9,288.15,100,90,7.2,AU,1605903104
91,Bubaque,1605903105,11.28,-15.83,301.47,69,63,5.23,GW,1605903105
92,Mawlaik,1605903107,23.63,94.42,290.68,85,0,0.52,MM,1605903107
93,Severo-Kuril'sk,1605903108,50.68,156.12,272.81,93,72,5.86,RU,1605903108
94,Fairbanks,1605902975,64.84,-147.72,255.37,75,20,1.0,US,1605902975
95,Zhigalovo,1605903110,54.81,105.16,263.24,94,100,1.98,RU,1605903110
96,Saskylakh,1605903111,71.92,114.08,259.83,92,100,5.46,RU,1605903111
97,Khovd,1605903112,48.01,91.64,261.29,69,0,0.11,MN,1605903112
98,Kahului,1605902907,20.89,-156.47,300.15,74,40,9.3,US,1605902907
99,Beringovskiy,1605903115,63.05,179.32,269.52,97,100,5.15,RU,1605903115
100,Tuktoyaktuk,1605903116,69.45,-133.04,262.15,92,90,3.6,CA,1605903116
101,Avarua,1605903117,-21.21,-159.78,300.15,78,48,4.6,CK,1605903117
102,Novy Urengoy,1605903118,66.08,76.63,271.98,96,86,9.43,RU,1605903118
103,Zapolyarnyy,1605903119,69.42,30.81,271.15,86,0,8.7,RU,1605903119
104,Atuona,1605903121,-9.8,-139.03,298.33,78,5,7.02,PF,1605903121
105,Oistins,1605902997,13.07,-59.53,300.15,83,75,5.1,BB,1605902997
106,Evensk,1605903123,61.95,159.23,254.42,84,15,4.47,RU,1605903123
107,Victor Harbor,1605903124,-35.57,138.62,289.26,90,97,3.59,AU,1605903124
108,Paján,1605903125,-1.57,-80.42,304.91,38,80,3.26,EC,1605903125
109,Moyale,1605903126,3.52,39.06,294.2,66,0,4.34,KE,1605903126
110,Hilo,1605903128,19.73,-155.09,297.59,88,90,2.6,US,1605903128
111,Westport,1605903129,41.14,-73.36,288.15,50,1,4.6,US,1605903129
112,Nanortalik,1605903130,60.14,-45.24,272.42,92,70,7.3,GL,1605903130
113,Nouakchott,1605903131,18.09,-15.98,299.15,29,100,3.1,MR,1605903131
114,Chui,1605903132,-33.7,-53.46,292.48,61,1,4.74,UY,1605903132
115,Kruisfontein,1605903133,-34.0,24.73,290.93,77,0,2.24,ZA,1605903133
116,Khatanga,1605903135,71.97,102.5,255.05,90,100,4.81,RU,1605903135
117,Mahébourg,1605903136,-20.41,57.7,294.15,94,20,3.1,MU,1605903136
118,Matara,1605903023,5.95,80.54,297.66,88,100,2.06,LK,1605903023
119,Nabire,1605903138,-3.37,135.48,297.89,87,100,1.67,ID,1605903138
120,Pevek,1605903139,69.7,170.31,264.89,97,100,0.74,RU,1605903139
121,Lethem,1605903141,3.38,-59.8,305.43,52,7,4.55,GY,1605903141
122,Chokurdakh,1605903142,70.63,147.92,251.87,92,100,2.43,RU,1605903142
123,Ovsyanka,1605903143,55.96,92.55,268.15,67,0,2.0,RU,1605903143
124,Samarai,1605903144,-10.62,150.67,300.26,83,100,7.03,PG,1605903144
125,Pacific Grove,1605903145,36.62,-121.92,289.82,41,1,4.1,US,1605903145
126,Hasaki,1605903146,35.73,140.83,289.15,82,40,3.1,JP,1605903146
127,Saint-Pierre,1605903148,-21.34,55.48,296.15,60,90,2.1,RE,1605903148
128,Turan,1605903149,16.07,108.22,297.15,94,20,1.0,VN,1605903149
129,Portland,1605902794,45.52,-122.68,283.15,75,40,2.1,US,1605902794
130,Rudnichnyy,1605903151,59.62,52.47,270.73,93,99,5.94,RU,1605903151
131,Upernavik,1605903152,72.79,-56.15,269.89,92,100,1.24,GL,1605903152
132,Bengkulu,1605903154,-3.8,102.27,297.94,91,100,2.66,ID,1605903154
133,Guararapes,1605903155,-21.26,-50.64,301.98,34,0,3.82,BR,1605903155
134,Kasama,1605903156,-10.21,31.18,294.27,54,6,1.74,ZM,1605903156
135,Isangel,1605903157,-19.55,169.27,297.79,75,43,6.66,VU,1605903157
136,Iberia,1605903158,29.95,-91.75,300.15,57,40,3.6,US,1605903158
137,Bentiu,1605903160,9.23,29.83,299.8,31,6,2.25,SS,1605903160
138,Ambon City,1605903161,-3.7,128.18,300.93,89,39,0.45,ID,1605903161
139,Ishigaki,1605902895,24.34,124.16,298.22,85,25,6.4,JP,1605902895
140,Nikolskoye,1605903163,59.7,30.79,274.26,88,90,7.0,RU,1605903163
141,Laguna,1605902921,38.42,-121.42,288.71,47,1,3.1,US,1605902921
142,Urengoy,1605903166,65.97,78.37,270.85,96,98,8.06,RU,1605903166
143,Bridlington,1605903167,54.08,-0.19,283.71,93,100,6.2,GB,1605903167
144,New Norfolk,1605903168,-42.78,147.06,283.15,73,44,0.34,AU,1605903168
145,Ribeira Grande,1605903169,38.52,-28.7,291.15,72,40,3.1,PT,1605903169
146,Khāsh,1605903171,28.22,61.22,279.46,57,0,2.39,IR,1605903171
147,Bud,1605903172,39.45,-86.18,291.15,48,75,3.1,US,1605903172
148,Águilas,1605903173,37.41,-1.58,287.59,82,62,0.89,ES,1605903173
149,Saint Paul Harbor,1605903174,57.79,-152.41,279.15,75,90,17.0,US,1605903174
150,San Javier,1605903176,37.81,-0.84,290.37,72,20,4.1,ES,1605903176
151,Verkhnevilyuysk,1605903177,63.45,120.32,256.94,93,100,3.08,RU,1605903177
152,Madaoua,1605903178,14.07,5.96,297.79,19,58,3.97,NE,1605903178
153,Carutapera,1605903179,-1.2,-46.02,301.09,70,78,3.89,BR,1605903179
154,Merauke,1605903180,-8.47,140.33,299.54,80,100,6.3,ID,1605903180
155,Gīdolē,1605903182,5.65,37.37,289.06,69,0,1.13,ET,1605903182
156,Kosh-Agach,1605903183,50.0,88.67,252.99,83,100,0.43,RU,1605903183
157,Nagua,1605903184,19.38,-69.85,299.15,94,40,2.1,DO,1605903184
158,Baykit,1605903185,61.67,96.37,263.07,93,100,3.41,RU,1605903185
159,Kristinestad,1605903186,62.27,21.38,274.67,83,0,3.51,FI,1605903186
160,Chesapeake,1605902676,36.82,-76.27,293.15,45,1,6.2,US,1605902676
161,Gaoua,1605903188,10.3,-3.25,298.84,22,1,1.32,BF,1605903188
162,Vila,1605903190,42.03,-8.16,283.71,74,10,2.24,PT,1605903190
163,Qaanaaq,1605903191,77.48,-69.36,266.24,84,95,2.86,GL,1605903191
164,Hīrna,1605903192,9.22,41.1,286.99,46,6,0.29,ET,1605903192
165,Las Palmas,1605903193,28.42,-14.01,295.15,53,0,3.6,ES,1605903193
166,Lingao,1605903194,19.91,109.69,295.92,92,1,2.48,CN,1605903194
167,São Filipe,1605903182,14.9,-24.5,299.14,71,92,2.42,CV,1605903182
168,Ābdānān,1605903197,32.99,47.42,289.64,49,99,4.49,IR,1605903197
169,Nanchong,1605903198,30.8,106.08,286.82,76,98,4.07,CN,1605903198
170,Pisco,1605903199,-13.7,-76.22,295.15,64,20,7.7,PE,1605903199
171,Ponta do Sol,1605903200,32.67,-17.1,293.15,77,20,3.1,PT,1605903200
172,Penzance,1605903201,50.12,-5.54,284.15,76,100,7.7,GB,1605903201
173,Thompson,1605903202,55.74,-97.86,256.15,77,20,2.6,CA,1605903202
174,Söderhamn,1605903204,61.3,17.06,272.04,71,0,1.79,SE,1605903204
175,Arenzano,1605902946,44.41,8.68,285.15,58,0,4.1,IT,1605902946
176,Bilibino,1605903206,68.05,166.44,259.97,93,100,1.44,RU,1605903206
177,Marawi,1605903207,8.0,124.29,297.59,90,98,2.68,PH,1605903207
178,Muyezerskiy,1605903208,63.93,31.65,272.56,97,100,4.59,RU,1605903208
